tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
douglas,hombre,chanel,bleu de chanel,eau de parfum,127.99,0.0,127.99,5.0,1.0
douglas,hombre,chanel,allure homme,eau de toilette,115.99,0.0,115.99,,
douglas,hombre,yves saint laurent,la nuit de l’homme,eau de toilette,54.95,29.04,38.99,5.0,2.0
douglas,hombre,armani,acqua di giò,eau de toilette,70.99,42.26,40.99,5.0,2290.0
douglas,hombre,hugo boss,boss bottled,eau de toilette,71.99,58.34,29.99,5.0,3.0
douglas,hombre,jean paul gaultier,le beau,eau de parfum,94.69,14.47,80.99,5.0,2.0
douglas,hombre,issey miyake,l'eau d'issey pour homme,eau de toilette,40.99,0.0,40.99,5.0,1.0
douglas,hombre,jean paul gaultier,le male,eau de toilette,68.29,13.62,58.99,,
douglas,hombre,calvin klein,ck one platinum,eau de toilette,43.39,44.71,23.99,5.0,28.0
douglas,hombre,dior,sauvage,eau de parfum,67.99,0.0,67.99,3.5,2.0
douglas,hombre,prada,l'homme,eau de toilette,85.99,22.1,66.99,5.0,2.0
douglas,hombre,armani,code,parfum,95.99,37.5,59.99,5.0,208.0
douglas,hombre,chanel,bleu de chanel,eau de parfum,95.99,0.0,95.99,5.0,1.0
douglas,hombre,yves saint laurent,y,eau de toilette,89.89,16.58,74.99,5.0,185.0
douglas,hombre,paco rabanne,fame,eau de parfum,65.99,34.85,42.99,5.0,40.0
douglas,hombre,calvin klein,eternity,eau de parfum,85.99,55.82,37.99,5.0,202.0
douglas,hombre,calvin klein,ck one platinum,eau de toilette,59.99,60.01,23.99,,
douglas,hombre,paco rabanne,1 million,parfum,87.99,36.37,55.99,5.0,13.0
douglas,hombre,givenchy,gentleman givenchy,eau de parfum,91.99,40.22,54.99,,
douglas,hombre,paco rabanne,1 million,eau de toilette,80.99,37.04,50.99,5.0,46.0
douglas,hombre,hugo boss,boss the scent,eau de toilette,94.99,55.8,41.99,5.0,23.0
douglas,hombre,armani,eaux pour homme,eau de toilette,150.0,43.34,84.99,,
douglas,hombre,jean paul gaultier,le beau,eau de toilette,114.99,48.7,58.99,,
douglas,hombre,prada,luna rossa,eau de toilette,85.99,37.21,53.99,5.0,118.0
douglas,hombre,valentino,born in roma,eau de toilette,111.99,31.25,76.99,5.0,52.0
