tienda,categoria,marca,nombre,tipo,descuento,precio_sin_desc,precio_con_desc,valoracion,num_valoraciones
druni,hombre,hugo boss,boss bottled,eau de toilette,57.0,69.0,29.95,4.8,571.0
druni,hombre,jean paul gaultier,jean paul gaultier le beau,eau de parfum,46.0,89.5,47.95,4.7,28.0
druni,hombre,armani,acqua di gio,eau de toilette,54.0,85.0,38.95,4.8,440.0
druni,hombre,nikos,sculpture homme,eau de toilette,74.0,65.9,16.95,4.7,310.0
druni,hombre,paco rabanne,one million,eau de toilette,38.0,80.5,49.95,4.7,214.0
druni,hombre,calvin klein,ck in2u men,eau de toilette,76.0,76.0,18.5,4.7,359.0
druni,hombre,davidoff,cool water,eau de toilette,76.0,79.0,18.95,4.75,411.0
druni,hombre,ralph lauren,polo sport,eau de toilette,65.0,72.0,24.95,4.65,39.0
druni,hombre,yves saint laurent,y men,eau de parfum,50.0,98.0,48.95,4.95,369.0
druni,hombre,ralph lauren,polo blue,eau de parfum,48.0,87.0,44.95,4.8,107.0
druni,hombre,carolina herrera,212 men,eau de toilette,49.0,74.5,37.95,4.8,173.0
druni,hombre,jean paul gaultier,ultra male,eau de toilette,52.0,65.0,30.95,4.65,156.0
druni,hombre,versace,blue jeans,eau de toilette,63.0,46.0,16.95,4.65,89.0
druni,hombre,yves saint laurent,myslf,eau de parfum,40.0,92.0,54.95,4.0,2.0
druni,hombre,armani,stronger with you,eau de toilette,51.0,85.0,41.95,4.9,165.0
druni,hombre,rochas,estuche rochas man,eau de toilette,58.0,95.0,39.95,4.8,393.0
druni,hombre,givenchy,gentleman reserve privee,eau de parfum,50.0,121.0,59.95,4.8,15.0
druni,hombre,hugo boss,boss the scent,eau de toilette,57.0,89.0,37.95,4.9,100.0
druni,hombre,versace,eros flame,eau de parfum,40.0,92.0,54.95,4.5,35.0
druni,hombre,paco rabanne,invictus,eau de toilette,38.0,79.0,48.95,4.7,209.0
druni,hombre,aramis,aramis,eau de toilette,71.0,91.5,26.95,4.9,9.0
druni,hombre,dior,sauvage,eau de toilette,30.0,76.0,52.95,4.7,100.0
druni,hombre,montblanc,explorer,eau de parfum,50.0,80.0,39.95,4.7,80.0
druni,hombre,ralph lauren,polo blue,eau de toilette,49.0,79.0,39.95,4.7,90.0
druni,hombre,versace,eros,eau de toilette,43.0,83.0,46.95,4.85,72.0
druni,hombre,hugo boss,hugo man,eau de toilette,56.0,80.0,34.95,4.75,143.0
druni,hombre,calvin klein,eternity for men,eau de toilette,63.0,73.0,26.95,4.75,404.0
druni,hombre,paco rabanne,ultraviolet man,eau de toilette,56.0,95.0,41.95,4.85,173.0
druni,hombre,hugo boss,boss bottled elixir,eau de parfum,46.0,111.0,59.95,4.0,1.0
druni,hombre,armani,acqua di giò profondo,eau de parfum,52.0,115.0,54.95,4.9,82.0
druni,hombre,loewe,estuche loewe esencia,eau de parfum,35.0,164.0,105.95,4.6,19.0
druni,hombre,ralph lauren,polo red,eau de toilette,46.0,72.0,38.95,4.6,40.0
druni,hombre,armani,eau pour homme,eau de toilette,57.0,150.0,64.95,4.9,65.0
druni,hombre,paco rabanne,estuche one million,eau de toilette,37.0,113.5,71.95,4.35,109.0
druni,hombre,rochas,estuche eau de rochas homme,eau de toilette,55.0,83.0,36.95,4.85,83.0
druni,hombre,jaguar,classic black,eau de toilette,64.0,39.9,14.5,4.5,25.0
druni,hombre,dior,sauvage,eau de parfum,25.0,88.0,65.95,4.7,166.0
druni,hombre,versace,eros,eau de parfum,40.0,92.0,54.95,4.7,66.0
druni,hombre,loewe,esencia,eau de parfum,35.0,110.0,71.25,4.8,36.0
druni,hombre,yves saint laurent,l'homme,eau de toilette,49.0,90.0,45.95,4.8,105.0
druni,hombre,paco rabanne,invictus victory,eau de parfum,37.0,89.0,55.95,4.95,20.0
druni,hombre,hugo boss,estuche boss bottled,eau de toilette,49.0,117.0,59.95,4.65,155.0
druni,hombre,valentino,born in roma uomo,eau de toilette,49.0,82.0,41.95,4.8,44.0
druni,hombre,scalpers,the club,eau de parfum,51.0,59.0,28.95,4.7,57.0
druni,hombre,calvin klein,eternity for men,eau de parfum,61.0,80.0,30.95,4.75,105.0
druni,hombre,hugo boss,boss bottled,eau de parfum,57.0,94.0,39.95,4.45,64.0
druni,hombre,armani,armani code new,eau de toilette,44.0,89.0,49.95,5.0,1.0
druni,hombre,paco rabanne,phantom,parfum,34.0,90.0,58.95,,
druni,hombre,paco rabanne,pure xs,eau de toilette,50.0,77.5,38.95,4.75,55.0
druni,hombre,moschino,toy boy,eau de parfum,43.0,109.0,61.95,4.9,47.0
druni,hombre,prada,l'homme intense,eau de parfum,42.0,120.0,69.95,4.85,34.0
druni,hombre,jean paul gaultier,le male le parfum,eau de parfum,33.0,87.5,58.95,4.7,45.0
druni,hombre,prada,luna rossa ocean,eau de toilette,45.0,82.0,44.95,4.9,83.0
