tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
notino,hombre,hugo boss,boss the scent absolute,eau de parfum,134.0,66.12,45.4,5.0,3.0
notino,hombre,versace,eros,eau de toilette,57.5,0.0,57.5,,
notino,hombre,versace,pour homme,eau de toilette,47.0,0.0,47.0,,
notino,hombre,narciso rodriguez,for him bleu noir,eau de parfum,110.0,47.73,57.5,5.0,1.0
notino,hombre,novellista,unique wood,eau de parfum,39.1,0.0,39.1,,
notino,hombre,armaf,club de nuit man intense,eau de toilette,102.7,58.71,42.4,4.2,39.0
notino,hombre,bentley,for men intense,eau de parfum,89.0,66.85,29.5,4.5,122.0
notino,hombre,lattafa,ameer al oudh intense oud,eau de parfum,33.7,38.28,20.8,4.3,25.0
notino,hombre,lattafa,asad,eau de parfum,60.1,57.57,25.5,4.6,19.0
notino,hombre,rasasi,daarej pour homme,eau de parfum,34.8,48.85,17.8,4.3,53.0
notino,hombre,afnan,turathi blue homme,eau de parfum,37.2,6.18,34.9,4.6,44.0
notino,hombre,lattafa,qaed al fursan,eau de parfum,28.0,35.0,18.2,4.4,18.0
notino,hombre,lattafa,badee al oud oud for glory,eau de parfum,27.7,6.14,26.0,4.4,12.0
notino,hombre,al haramain,détour noir,eau de parfum,59.3,46.54,31.7,4.4,16.0
notino,hombre,lattafa,fakhar lattafa men,eau de parfum,36.7,50.14,18.3,4.2,9.0
notino,hombre,afnan,supremacy not only intense,parfum,49.9,0.0,49.9,,
notino,hombre,rasasi,fattan pour homme,eau de parfum,28.4,48.94,14.5,4.4,29.0
notino,hombre,afnan,9 pm,eau de parfum,41.1,0.0,41.1,,
notino,hombre,lalique,encre noire sport,eau de toilette,96.0,76.56,22.5,4.3,93.0
notino,hombre,rasasi,shuhrah pour homme,eau de parfum,47.8,48.33,24.7,4.3,129.0
notino,hombre,lattafa,sheikh al shuyukh luxe edition,eau de parfum,27.3,33.33,18.2,4.6,27.0
notino,hombre,lalique,encre noire,eau de toilette,103.0,76.02,24.7,4.7,112.0
notino,hombre,lattafa,badee al oud ametyst,eau de parfum,49.5,35.35,32.0,4.2,23.0
notino,hombre,lattafa,malik al tayoor concentrated,eau de parfum,26.5,43.77,14.9,4.2,4.0
notino,hombre,lalique,encre noire a l'extreme,eau de parfum,123.0,75.77,29.8,4.4,40.0
notino,hombre,lattafa,opulent red,eau de parfum,32.8,44.82,18.1,4.7,29.0
notino,hombre,al haramain,amber oud gold edition,eau de parfum,104.22,47.71,54.5,4.9,17.0
notino,hombre,lattafa,pride ishq al shuyukh gold,eau de parfum,56.0,0.0,56.0,,
notino,hombre,al haramain,amber oud tobacco edition,eau de parfum,96.03,43.46,54.3,4.6,28.0
notino,hombre,al haramain,l'aventure,eau de parfum,21.2,6.13,19.9,4.3,18.0
notino,hombre,just jack,tobacco leaf,eau de parfum,27.49,58.17,11.5,4.7,22.0
notino,hombre,lattafa,opulent oud,eau de parfum,28.4,19.37,22.9,4.7,10.0
notino,hombre,lattafa,pride eternal oud,eau de parfum,56.0,0.0,56.0,,
notino,hombre,versace,eros flame,eau de parfum,53.0,6.04,49.8,4.5,6.0
notino,hombre,carolina herrera,212 vip black,eau de parfum,48.0,0.0,48.0,,
notino,hombre,afnan,supremacy in oud,eau de parfum,51.2,9.96,46.1,4.5,2.0
notino,hombre,afnan,supremacy silver,eau de parfum,37.2,0.0,37.2,,
notino,hombre,versace,pour homme oud noir,eau de parfum,110.0,0.0,110.0,,
notino,hombre,afnan,9 am dive,eau de parfum,37.2,6.18,34.9,4.5,2.0
notino,hombre,burberry,weekend for men,eau de toilette,93.0,70.75,27.2,4.6,5.0
notino,hombre,afnan,dehn al oudh abiyad,eau de parfum,12.3,5.69,11.6,4.6,10.0
notino,hombre,lattafa,ajward,eau de parfum,32.9,6.08,30.9,4.7,3.0
notino,hombre,rasasi,egra for men,eau de parfum,29.4,43.54,16.6,3.5,8.0
notino,hombre,hugo boss,hugo energise,eau de toilette,75.0,44.0,42.0,5.0,2.0
notino,hombre,armaf,voyage brown,eau de parfum,22.5,0.0,22.5,,
notino,hombre,jeanne arthes,boum metal,eau de toilette,9.9,45.45,5.4,4.4,8.0
notino,hombre,rasasi,la yuqawam,eau de parfum,89.4,20.81,70.8,4.4,42.0
notino,hombre,bentley,bentley for men absolute,eau de parfum,102.0,66.47,34.2,5.0,6.0
notino,hombre,armaf,radical brown,eau de parfum,47.1,54.99,21.2,4.2,6.0
notino,hombre,jeanne en provence,olive wood & juniper,eau de toilette,16.5,20.0,13.2,4.0,9.0
notino,hombre,lattafa,quasaed al sultan,eau de parfum,26.3,20.15,21.0,4.5,2.0
notino,hombre,hugo boss,boss bottled,eau de toilette,63.5,45.83,34.4,4.5,33.0
notino,hombre,rasasi,mukhallat oudh al mubakhar,eau de parfum,21.5,40.47,12.8,4.0,17.0
notino,hombre,rasasi,afshan,eau de parfum,23.2,40.95,13.7,4.2,20.0
notino,hombre,armaf,club de nuit man intense,parfum,135.0,49.26,68.5,4.0,8.0
notino,hombre,jaguar,for men,eau de toilette,45.0,75.33,11.1,4.5,16.0
notino,hombre,playboy,generation,eau de toilette,12.9,34.11,8.5,5.0,2.0
notino,hombre,cuba,royal,eau de toilette,4.6,6.52,4.3,4.0,4.0
notino,hombre,bentley,for men intense,eau de parfum,89.0,66.85,29.5,4.5,123.0
notino,hombre,jeanne arthes,j.s. magnetic power night,eau de toilette,13.0,45.38,7.1,4.0,3.0
notino,hombre,hugo boss,boss in motion,eau de toilette,31.6,0.0,31.6,,
notino,hombre,armaf,eternia man,eau de parfum,17.9,0.0,17.9,,
notino,hombre,jean paul gaultier,scandal le parfum pour homme,eau de parfum,55.0,0.0,55.0,,
notino,hombre,lattafa,sheikh al shuyukh black,eau de parfum,20.3,33.5,13.5,5.0,3.0
notino,hombre,jeanne en provence,lin blanc,eau de toilette,16.5,20.0,13.2,1.0,1.0
notino,hombre,calvin klein,obsession for men,eau de toilette,54.5,55.41,24.3,4.8,10.0
notino,hombre,lacoste,essential,eau de toilette,93.5,67.06,30.8,4.2,4.0
notino,hombre,bentley,for men azure,eau de toilette,82.0,62.2,31.0,4.0,11.0
notino,hombre,ted lapidus,black soul imperial,eau de toilette,28.1,28.47,20.1,4.6,13.0
notino,hombre,rasasi,sotoor taa’,eau de parfum,71.9,55.08,32.3,5.0,2.0
notino,hombre,armaf,club de nuit man,eau de toilette,29.9,6.02,28.1,4.8,8.0
notino,hombre,hugo boss,boss bottled infinite,eau de parfum,116.0,60.09,46.3,4.8,4.0
notino,hombre,jeanne arthes,sexy boy irreversible,eau de toilette,9.9,47.47,5.2,3.7,3.0
notino,hombre,al haramain,khulasat al oudh,eau de parfum,18.3,0.0,18.3,,
notino,hombre,lattafa,khashabi,eau de parfum,19.2,9.9,17.3,5.0,1.0
notino,hombre,rasasi,oudh al misk,eau de parfum,21.8,34.86,14.2,4.1,19.0
notino,hombre,rasasi,la yuqawam tobacco blaze,eau de parfum,154.1,52.89,72.6,4.5,2.0
notino,hombre,just jack,neroli,eau de parfum,28.0,53.57,13.0,4.3,15.0
notino,hombre,paul smith,extreme man,eau de toilette,42.5,34.35,27.9,4.8,8.0
notino,hombre,rasasi,faqat lil rijal,eau de parfum,51.2,49.61,25.8,4.4,5.0
notino,hombre,lalique,pour homme equus,eau de parfum,88.0,70.8,25.7,4.3,3.0
notino,hombre,al haramain,excellent,eau de toilette,26.0,58.08,10.9,3.7,3.0
notino,hombre,cuba,blue,eau de toilette,6.1,6.56,5.7,4.8,5.0
notino,hombre,rasasi,khaltat al khasa ma dhan al oudh,eau de parfum,40.3,46.65,21.5,4.7,6.0
notino,hombre,john varvatos,heritage vintage,eau de toilette,85.5,55.79,37.8,3.6,8.0
notino,hombre,cuba,orange,eau de toilette,13.2,51.52,6.4,4.7,3.0
notino,hombre,halston,z-14,eau de cologne,49.4,47.57,25.9,3.8,5.0
notino,hombre,liz claiborne,curve connect,eau de cologne,16.4,0.0,16.4,,
notino,hombre,jeanne arthes,rocky man,eau de toilette,4.6,0.0,4.6,,
notino,hombre,tous,man intense,eau de toilette,78.1,67.99,25.0,3.0,1.0
notino,hombre,rasasi,la yuqavam ambergris showers,eau de parfum,154.1,53.6,71.5,4.5,4.0
