tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
paco,hombre,paco rabanne,1 million,eau de toilette,80.5,38.0,49.91,5,4
paco,hombre,dior,sauvage,eau de parfum,77.94,0.0,77.94,4,17
paco,hombre,paco rabanne,invictus,eau de toilette,79.0,38.0,48.98,4,58
paco,hombre,armani,acqua di giò hombre,eau de toilette,70.0,50.0,35.0,4,10
paco,hombre,loewe,esencia loewe,eau de toilette,97.0,35.0,63.05,4,2
paco,hombre,hugo boss,boss bottled,eau de toilette,69.0,57.0,29.67,4,14
paco,hombre,jean paul gaultier,le male,eau de toilette,61.5,51.0,30.14,4,41
paco,hombre,ralph lauren,polo blue,eau de toilette,82.0,51.0,40.18,5,9
paco,hombre,adolfo domínguez,agua fresca,eau de toilette,36.5,40.0,21.9,5,4
paco,hombre,carolina herrera,212 men,eau de toilette,74.5,49.0,37.99,4,10
paco,hombre,carolina herrera,bad boy,eau de toilette,79.5,33.0,53.26,4,7
paco,hombre,yves saint laurent,y men,eau de toilette,90.0,50.0,45.0,5,1
paco,hombre,givenchy,gentleman society,eau de parfum,96.0,48.0,49.92,0,0
paco,hombre,davidoff,cool water,eau de toilette,57.0,74.0,14.82,4,9
paco,hombre,rochas,rochas man,eau de toilette,63.0,59.0,25.83,4,7
paco,hombre,dolce & gabbana,k by dolce & gabbana,eau de toilette,82.0,45.0,45.1,4,13
paco,hombre,jean paul gaultier,ultra male,eau de toilette,83.0,52.0,39.84,4,9
paco,hombre,calvin klein,ck one,eau de toilette,76.0,72.0,21.28,4,12
paco,hombre,yves saint laurent,myslf,eau de parfum,92.0,35.0,59.8,0,0
paco,hombre,calvin klein,ck be,eau de toilette,76.0,74.0,19.76,4,7
paco,hombre,armani,acqua di giò profondo,eau de parfum,115.0,52.0,55.2,4,12
paco,hombre,calvin klein,eternity for men,eau de toilette,53.0,62.0,20.14,4,9
paco,hombre,yves saint laurent,la nuit de l'homme,eau de toilette,90.0,49.0,45.9,5,5
paco,hombre,nikos,sculpture,eau de toilette,65.9,74.0,17.13,4,231
paco,hombre,issey miyake,l'eau d'issey pour homme,eau de toilette,57.0,35.0,37.05,4,12
paco,hombre,paco rabanne,pour homme,eau de toilette,56.5,47.0,29.94,5,1
paco,hombre,adolfo domínguez,agua fresca citrus cedro,eau de toilette,36.5,59.0,14.97,5,2
paco,hombre,adolfo domínguez,bambú,eau de toilette,31.5,54.0,14.49,4,11
paco,hombre,armani,acqua di giò parfum,parfum,115.0,44.0,64.4,5,5
paco,hombre,loewe,esencia loewe edp,eau de parfum,110.0,35.0,71.5,4,7
paco,hombre,prada,infusion d'iris,eau de parfum,110.0,46.0,59.4,4,15
paco,hombre,hugo boss,hugo man,eau de toilette,80.0,56.0,35.2,5,2
