tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
perfumes24h,hombre,issey miyake,l'eau d'issey pour homme intense,eau de toilette,88.0,62.56,32.95,4.8,4
perfumes24h,hombre,carolina herrera,chic for men,eau de toilette,55.0,32.82,36.95,4.5,2
perfumes24h,hombre,calvin klein,truth for men,eau de toilette,70.0,64.36,24.95,5.0,1
perfumes24h,hombre,paco rabanne,xs pour homme,eau de toilette,89.0,58.48,36.95,4.8,6
perfumes24h,hombre,montblanc,explorer platinum,eau de parfum,106.0,43.44,59.95,4.8,6
perfumes24h,hombre,jean paul gaultier,le male,eau de toilette,52.0,32.79,34.95,4.9,8
perfumes24h,hombre,hugo boss,boss bottled,eau de parfum,79.0,43.1,44.95,5.0,8
perfumes24h,hombre,police,to be free to dare,eau de toilette,39.0,33.46,25.95,5.0,8
perfumes24h,hombre,hugo boss,boss bottled parfum,parfum,96.0,47.97,49.95,5.0,2
perfumes24h,hombre,calvin klein,eternity for men parfum,parfum,77.5,54.9,34.95,5.0,1
perfumes24h,hombre,paco rabanne,invictus victory elixir parfum intense,parfum,82.0,26.89,59.95,5.0,1
perfumes24h,hombre,dolce & gabbana,k by dolce & gabbana,eau de parfum,103.63,47.02,54.9,4.5,2
perfumes24h,hombre,paco rabanne,phantom parfum,parfum,90.0,34.5,58.95,5.0,1
perfumes24h,hombre,halloween,halloween man,eau de toilette,48.5,48.56,24.95,5.0,3
perfumes24h,hombre,adolfo domínguez,ámbar negro,eau de parfum,59.5,41.26,34.95,5.0,3
perfumes24h,hombre,carolina herrera,ch men pasión,eau de parfum,112.0,42.02,64.94,5.0,3
perfumes24h,hombre,issey miyake,l'eau d'issey pour homme vétiver intense,eau de toilette,80.0,35.0,52.0,3.5,2
perfumes24h,hombre,dolce & gabbana,light blue summer vibes pour homme,eau de toilette,90.0,41.17,52.95,4.0,1
perfumes24h,hombre,scalpers,boxing club,eau de parfum,54.0,44.54,29.95,5.0,1
perfumes24h,hombre,scalpers,the club,eau de parfum,52.0,42.4,29.95,4.3,3
perfumes24h,hombre,calvin klein,ck one,eau de toilette,58.0,62.16,21.95,4.9,81
perfumes24h,hombre,davidoff,cool water,eau de toilette,87.0,71.32,24.95,4.8,10
perfumes24h,hombre,nikos,sculpture pour homme,eau de toilette,67.0,74.7,16.95,4.9,15
perfumes24h,hombre,paco rabanne,ultraviolet man,eau de toilette,81.5,48.53,41.95,5.0,4
perfumes24h,hombre,calvin klein,euphoria men,eau de toilette,80.0,62.56,29.95,5.0,3
perfumes24h,hombre,paco rabanne,invictus,eau de toilette,89.0,24.78,66.95,4.9,9
perfumes24h,hombre,davidoff,set cool water 125ml + all-in-one shower gel 75ml + after shave balm 75ml,eau de toilette,78.0,65.45,26.95,4.9,9
perfumes24h,hombre,calvin klein,eternity for men,eau de parfum,45.0,33.38,29.98,5.0,5
