tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
primor,mujer,tai & jon,salted chocolate,eau de parfum,1.0,0.0,1.0,,
primor,hombre,sentio,involved,eau de toilette,1.0,0.0,1.0,5.0,1.0
primor,mujer,sentio,zodiac taurus,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,zodiac virgo,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,zodiac gemeni,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,zodiac pisces,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,xoxo eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,you are awesome eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,zodiac capricorn,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,happy birthday to you eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,tai & jon,mandarin i basil i lime,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,thank you eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,da lago eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,zodiac leo,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,zodiac aries,eau de parfum,1.0,0.0,1.0,,
primor,hombre,sentio,confirmation eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,suffix eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,single lady eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,tai & jon,jasmin i mint,eau de parfum,1.0,0.0,1.0,,
primor,mujer,ng perfumes,crystal pink eau de,eau de parfum,1.0,0.0,1.0,,
primor,hombre,sentio,interfeer men,eau de toilette,1.0,0.0,1.0,4.0,1.0
primor,mujer,sentio,dazzling lady eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,zodiac cancer,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,dlm eau de,eau de parfum,1.0,0.0,1.0,5.0,1.0
primor,mujer,sentio,i love you eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,patron,eau de toilette,1.0,0.0,1.0,,
primor,mujer,ng perfumes,phenom eau de,eau de parfum,1.0,0.0,1.0,,
primor,mujer,tai & jon,rose i magnolia,eau de parfum,1.0,0.0,1.0,,
primor,mujer,sentio,blossoms of joy,eau de parfum,1.0,0.0,1.0,,
primor,mujer,aqc fragances,star  for woman,eau de toilette,1.5,0.0,1.5,3.0,1.0
primor,mujer,aqc fragances,chic  for woman,eau de toilette,1.5,0.0,1.5,4.75,4.0
primor,hombre,naturel art cosmetics,inv 502 eau de  para el,eau de parfum,1.99,0.0,1.99,,
primor,hombre,naturel art cosmetics,513 aqua eau de  para el,eau de parfum,1.99,0.0,1.99,,
primor,mujer,naturel art cosmetics,jdo 303 eau de  para ella,eau de parfum,1.99,0.0,1.99,,
primor,hombre,naturel art cosmetics,lgb 504 eau de  para el,eau de parfum,1.99,0.0,1.99,,
primor,mujer,star nature,star nature,eau de cologne,1.99,0.0,1.99,4.1,277.0
primor,hombre,naturel art cosmetics,510 pha eau de  para el,eau de parfum,1.99,0.0,1.99,,
