,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes para Hombre,HUGO BOSS,Boss Bottled,Eau de Toilette para hombre,"69,00€",,"29,95€",96%,571
1,Perfumes para Hombre,JEAN PAUL GAULTIER,Jean Paul Gaultier Le Beau,Eau de parfum para hombre,"89,50€",,"47,95€",94%,28
2,Perfumes para Hombre,ARMANI,Acqua Di Gio,Eau de Toilette para hombre,"85,00€",,"38,95€",96%,440
3,Perfumes para Hombre,NIKOS,Sculpture Homme,Eau de Toilette para hombre,"65,90€",No aparece,"16,95€",94%,310
4,Perfumes para Hombre,PACO RABANNE,One Million,Eau de Toilette para hombre,"80,50€",,"49,95€",94%,214
5,Perfumes para Hombre,CALVIN KLEIN,Ck In2u Men,Eau de Toilette para hombre,"76,00€",,"18,50€",94%,359
6,Perfumes para Hombre,DAVIDOFF,Cool Water,Eau de Toilette para hombre,"79,00€",,"18,95€",95%,411
7,Perfumes para Hombre,RALPH LAUREN,Polo Sport,Eau de Toilette para hombre,"72,00€",No aparece,"24,95€",93%,39
8,Perfumes para Hombre,YVES SAINT LAURENT,Y Men,Eau de Parfum para hombre,"98,00€",,"48,95€",99%,369
9,Perfumes para Hombre,RALPH LAUREN,Polo Blue,Eau de Parfum para hombre,"87,00€",,"44,95€",96%,107
10,Perfumes para Hombre,CAROLINA HERRERA,212 Men,Eau de Toilette para hombre,"74,50€",,"37,95€",96%,173
11,Perfumes para Hombre,JEAN PAUL GAULTIER,Ultra Male,Eau de Toilette para hombre,"65,00€",,"30,95€",93%,156
12,Perfumes para Hombre,VERSACE,Blue Jeans,Eau de Toilette para hombre,"46,00€",No aparece,"16,95€",93%,89
13,Perfumes para Hombre,YVES SAINT LAURENT,Myslf,Eau de Parfum para Hombre,"92,00€",,"54,95€",80%,2
14,Perfumes para Hombre,ARMANI,Stronger With You,Eau de Toilette para hombre,"85,00€",,"41,95€",98%,165
15,Perfumes para Hombre,ROCHAS,Estuche Rochas Man,Eau de Toilette para hombre,"95,00€",No aparece,"39,95€",96%,393
16,Perfumes para Hombre,GIVENCHY,Gentleman Reserve Privee,Eau de parfum para hombre,"121,00€",No aparece,"59,95€",96%,15
17,Perfumes para Hombre,HUGO BOSS,Boss The Scent,Eau de Toilette para hombre,"89,00€",,"37,95€",98%,100
18,Perfumes para Hombre,VERSACE,Eros Flame,Eau de Parfum para hombre,"92,00€",,"54,95€",90%,35
19,Perfumes para Hombre,PACO RABANNE,Invictus,Eau de Toilette para hombre,"79,00€",,"48,95€",94%,209
20,Perfumes para Hombre,ARAMIS,Aramis,Eau de Toilette para hombre,"91,50€",No aparece,"26,95€",98%,9
21,Perfumes para Hombre,DIOR,Sauvage,Eau de Toilette para hombre,"76,00€",No aparece,"52,95€",94%,100
22,Perfumes para Hombre,MONTBLANC,Explorer,Eau de Parfum para hombre,"80,00€",,"39,95€",94%,80
23,Perfumes para Hombre,RALPH LAUREN,Polo Blue,Eau de Toilette para hombre,"79,00€",,"39,95€",94%,90
24,Perfumes para Hombre,VERSACE,Eros,Eau de Toilette para hombre,"83,00€",,"46,95€",97%,72
25,Perfumes para Hombre,HUGO BOSS,Hugo Man,Eau de Toilette para hombre,"80,00€",,"34,95€",95%,143
26,Perfumes para Hombre,CALVIN KLEIN,Eternity For Men,Eau de Toilette para hombre,"73,00€",,"26,95€",95%,404
27,Perfumes para Hombre,PACO RABANNE,Ultraviolet Man,Eau de Toilette para hombre,"95,00€",,"41,95€",97%,173
28,Perfumes para Hombre,HUGO BOSS,Boss Bottled Elixir,Perfume Intenso para Hombre,"111,00€",,"59,95€",80%,1
29,Perfumes para Hombre,ARMANI,Acqua Di Giò Profondo,Eau de Parfum para hombre,"115,00€",,"54,95€",98%,82
30,Perfumes para Hombre,LOEWE,Estuche Loewe Esencia,Eau de Parfum para hombre,"164,00€",No aparece,"105,95€",92%,19
31,Perfumes para Hombre,RALPH LAUREN,Polo Red,Eau de Toilette para hombre,"72,00€",,"38,95€",92%,40
32,Perfumes para Hombre,ARMANI,Eau Pour Homme,Eau de Toilette para hombre,"150,00€",,"64,95€",98%,65
33,Perfumes para Hombre,PACO RABANNE,Estuche One Million,Eau de Toilette para hombre,"113,50€",No aparece,"71,95€",87%,109
34,Perfumes para Hombre,ROCHAS,Estuche Eau De Rochas Homme,Eau de Toilette para hombre,"83,00€",No aparece,"36,95€",97%,83
35,Perfumes para Hombre,JAGUAR,Classic Black,Eau de Toilette para hombre,"39,90€",No aparece,"14,50€",90%,25
36,Perfumes para Hombre,DIOR,Sauvage,Eau de Parfum para hombre,"88,00€",No aparece,"65,95€",94%,166
37,Perfumes para Hombre,VERSACE,Eros,Eau de Parfum para Hombre,"92,00€",,"54,95€",94%,66
38,Perfumes para Hombre,PACO RABANNE,One Million Deo Spray,Desodorante en spray para hombre,"35,00€",No aparece,"16,95€",93%,18
39,Perfumes para Hombre,LOEWE,Esencia,Eau de Parfum para hombre,"110,00€",,"71,25€",96%,36
40,Perfumes para Hombre,YVES SAINT LAURENT,L'homme,Eau de Toilette para hombre,"90,00€",,"45,95€",96%,105
41,Perfumes para Hombre,PACO RABANNE,Invictus Victory,Eau de Parfum Extreme para hombre,"89,00€",,"55,95€",99%,20
42,Perfumes para Hombre,HUGO BOSS,Estuche Boss Bottled,Eau de Toilette para hombre,"117,00€",No aparece,"59,95€",93%,155
43,Perfumes para Hombre,VALENTINO,Born In Roma Uomo,Eau de Toilette para hombre,"82,00€",,"41,95€",96%,44
44,Perfumes para Hombre,SCALPERS,The Club,Eau de Parfum para hombre,"59,00€",,"28,95€",94%,57
45,Perfumes para Hombre,CALVIN KLEIN,Eternity For Men,Eau de Parfum para hombre,"80,00€",,"30,95€",95%,105
46,Perfumes para Hombre,HUGO BOSS,Boss Bottled,Eau de Parfum para Hombre,"94,00€",,"39,95€",89%,64
47,Perfumes para Hombre,ARMANI,Armani Code New,Eau de Toilette para Hombre,"89,00€",,"49,95€",100%,1
48,Perfumes para Hombre,PACO RABANNE,Phantom,Parfum para Hombre,"90,00€",,"58,95€",Sin rating,
49,Perfumes para Hombre,PACO RABANNE,Pure Xs,Eau de Toilette para hombre,"77,50€",,"38,95€",95%,55
50,Perfumes para Hombre,MOSCHINO,Toy Boy,Eau de Parfum para hombre,"109,00€",No aparece,"61,95€",98%,47
51,Perfumes para Hombre,PRADA,L'homme Intense,Eau de Parfum para hombre,"120,00€",,"69,95€",97%,34
52,Perfumes para Hombre,JEAN PAUL GAULTIER,Le Male Le Parfum,Eau de Parfum para Hombre,"87,50€",,"58,95€",94%,45
53,Perfumes para Hombre,PRADA,Luna Rossa Ocean,Eau de Toilette para hombre,"82,00€",,"44,95€",98%,83
54,Perfumes para Hombre,YVES SAINT LAURENT,Kouros,Eau de Toilette para hombre,"115,00€",No aparece,"58,95€",97%,55
55,Perfumes para Hombre,DIOR,Dior Homme Parfum,Eau de Parfum para hombre,"155,00€",No aparece,"115,95€",94%,43
56,Perfumes para Hombre,MUGLER,Angel Men Recarga,Eau de Toilette para hombre,"77,00€",No aparece,"49,95€",88%,18
57,Perfumes para Hombre,CAROLINA HERRERA,Men,Eau de Toilette para hombre,"95,50€",No aparece,"45,95€",98%,56
58,Perfumes para Hombre,CALVIN KLEIN,Estuche Eternity For Men,Eau de Toilette para hombre,"100,00€",No aparece,"44,95€",87%,40
59,Perfumes para Hombre,VALENTINO,Valentino Uomo Born In Roma Coral,Eau de toilette para hombre,"82,00€",,"39,95€",95%,13
60,Perfumes para Hombre,ALFA ROMEO,Black,Eau de Toilette para Hombre,"20,00€",No aparece,"9,95€",Sin rating,
61,Perfumes para Hombre,YVES SAINT LAURENT,La Nuit De L'homme,Eau de Toilette para Hombre,"90,00€",,"45,95€",93%,60
62,Perfumes para Hombre,ARMAND BASI,Homme,Eau de Toilette para hombre,"76,00€",No aparece,"34,95€",95%,55
63,Perfumes para Hombre,MONTBLANC,Legend,Eau de Toilette para hombre,"105,00€",,"46,95€",96%,43
64,Perfumes para Hombre,GIVENCHY,Gentleman Classic,Eau de Toilette para hombre,"107,00€",,"55,95€",98%,33
