,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes de mujer,Elie Saab,Girl of Now Shine,Eau de Parfum para mujer,Es el precio con desc,Sin descuento,"41,00",Sin valoracion,Sin valoraciones
1,Perfumes de mujer,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
2,Perfumes de mujer,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"21,40",4.3,25
3,Perfumes de mujer,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,80",4.4,18
4,Perfumes de mujer,Burberry,Burberry for Women,Eau de Parfum para mujer,"119,00€",-15 %,"33,70",4.5,32
5,Perfumes de mujer,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23
6,Perfumes de mujer,Montblanc,Signature,Eau de Parfum para mujer,"95,50€",-15 %,"31,00",4.5,11
7,Perfumes de mujer,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"56,10",4.9,17
8,Perfumes de mujer,Mugler,Alien,Eau de Parfum recargable para mujer,"115,00€",-15 %,"24,50",4.8,8
9,Perfumes de mujer,Lattafa,Opulent Red,Eau de Parfum unisex 100 ml,"32,80€",-15 %,"18,60",4.7,29
10,Perfumes de mujer,Armaf,Club de Nuit Women,Eau de Parfum para mujer,"60,40€",-15 %,"31,30",4.4,7
11,Perfumes de mujer,Jeanne Arthes,Boum Vanille Sa Pomme d'Amour,Eau de Parfum para mujer 100 ml,"9,90€",-15 %,"6,60",4.1,46
12,Perfumes de mujer,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,80",4.6,27
13,Perfumes de mujer,Avon,Far Away,Eau de Parfum para mujer,"17,85€",-15 %,"12,20",4.4,78
14,Perfumes de mujer,Lattafa,Pride Ishq Al Shuyukh Gold,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
15,Perfumes de mujer,Avon,Today Tomorrow Always Today,Eau de Parfum para mujer,"19,26€",-15 %,"6,20",4.5,37
16,Perfumes de mujer,Elie Saab,Girl of Now Forever,Eau de Parfum para mujer,Es el precio con desc,Sin descuento,"21,50",Sin valoracion,Sin valoraciones
17,Perfumes de mujer,Just Jack,Tobacco Leaf,Eau de Parfum unisex,"27,49€",-15 %,"11,50",4.7,22
18,Perfumes de mujer,Lattafa,Opulent Oud,Eau de Parfum unisex 100 ml,"28,40€",-15 %,"23,60",4.7,10
19,Perfumes de mujer,Lalique,Perles de Lalique,Eau de Parfum para mujer,"26,60€",Sin descuento,"25,00",4.4,59
20,Perfumes de mujer,Avon,Rare Pearls,Eau de Parfum para mujer 50 ml,"23,43€",-15 %,"10,90",4.6,39
21,Perfumes de mujer,Lattafa,Maahir Black Edition,Eau de Parfum unisex 100 ml,"46,20€",-15 %,"27,50",4,4
22,Perfumes de mujer,Jeanne Arthes,Boum Do Brasil,Eau de Parfum para mujer 100 ml,"9,90€",-15 %,"6,20",4.8,5
23,Perfumes de mujer,Lattafa,Malik Al Tayoor Concentrated,Eau de Parfum unisex 100 ml,"26,50€",-15 %,"14,90",4.2,4
24,Perfumes de mujer,Elie Saab,Girl of Now Shine,Eau de Parfum para mujer,Es el precio con desc,Sin descuento,"41,00",Sin valoracion,Sin valoraciones
25,Perfumes de mujer,Burberry,Burberry for Women,Eau de Parfum para mujer,"119,00€",-15 %,"33,70",4.5,32
26,Perfumes de mujer,Burberry,London for Women,Eau de Parfum para mujer,"119,00€",-15 %,"21,50",4.5,36
27,Perfumes de mujer,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
28,Perfumes de mujer,Burberry,Weekend for Women,Eau de Parfum para mujer,"119,00€",-15 %,"22,00",4.3,15
29,Perfumes de mujer,Carolina Herrera,Good Girl Légère,Eau de Parfum para mujer,"115,80€",-15 %,"41,70",4.6,7
30,Perfumes de mujer,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"21,40",4.3,25
31,Perfumes de mujer,Burberry,Brit for Her,Eau de Parfum para mujer,"128,00€",-15 %,"33,00",4.6,17
32,Perfumes de mujer,Carolina Herrera,Good Girl,Eau de Parfum para mujer,Es el precio con desc,Sin descuento,"18,30",Sin valoracion,Sin valoraciones
33,Perfumes de mujer,Afnan,Supremacy In Oud,Eau de Parfum unisex 100 ml,"51,20€",-15 %,"46,10",4.3,3
34,Perfumes de mujer,Burberry,Touch for Women,Eau de Parfum para mujer 100 ml,"119,00€",-15 %,"30,90",4.5,6
