,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones,Unnamed: 0
0,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19,
1,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12,
2,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.3,10,
3,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,123,
4,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"21,40",4.3,25,
5,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,80",4.4,18,
6,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"51,40",Sin valoracion,Sin valoraciones,
7,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23,
8,Perfumes de hombre,Afnan,Turathi Blue Homme,Eau de Parfum para hombre 90 ml,"37,20€",-15 %,"36,00",4.6,44,
9,Perfumes de hombre,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"56,10",4.9,17,
10,Perfumes de hombre,Al Haramain,Détour noir,Eau de Parfum para hombre 100 ml,"59,30€",-15 %,"31,70",4.4,16,
11,Perfumes de hombre,Lattafa,Opulent Red,Eau de Parfum unisex 100 ml,"32,80€",-15 %,"18,60",4.7,29,
12,Perfumes de hombre,Rasasi,Daarej Pour Homme,Eau de Parfum para hombre 100 ml,"34,80€",-15 %,"19,00",4.3,53,
13,Perfumes de hombre,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,80",4.6,27,
14,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"25,40",4.3,129,
15,Perfumes de hombre,Lattafa,Pride Ishq Al Shuyukh Gold,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones,
16,Perfumes de hombre,Afnan,9 PM,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"41,10",Sin valoracion,Sin valoraciones,
17,Perfumes de hombre,Just Jack,Tobacco Leaf,Eau de Parfum unisex,"27,49€",-15 %,"11,50",4.7,22,
18,Perfumes de hombre,Rasasi,Fattan Pour Homme,Eau de Parfum para hombre 50 ml,"28,40€",-15 %,"15,40",4.4,30,
19,Perfumes de hombre,Lattafa,Opulent Oud,Eau de Parfum unisex 100 ml,"28,40€",-15 %,"23,60",4.7,10,
20,Perfumes de hombre,Al Haramain,L'Aventure,Eau de Parfum para hombre,"21,20€",Sin descuento,"19,90",4.3,18,
21,Perfumes de hombre,Lattafa,Maahir Black Edition,Eau de Parfum unisex 100 ml,"46,20€",-15 %,"27,50",4,4,
22,Perfumes de hombre,Lalique,Encre Noire A L'Extreme,Eau de Parfum para hombre 100 ml,"123,00€",-15 %,"30,70",4.4,40,
23,Perfumes de hombre,Lattafa,Malik Al Tayoor Concentrated,Eau de Parfum unisex 100 ml,"26,50€",-15 %,"14,90",4.2,4,
24,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19,
25,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12,
26,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.3,10,
27,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,123,
28,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"21,40",4.3,25,
29,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,80",4.4,18,
30,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"51,40",Sin valoracion,Sin valoraciones,
31,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23,
32,Perfumes de hombre,Afnan,Turathi Blue Homme,Eau de Parfum para hombre 90 ml,"37,20€",-15 %,"36,00",4.6,44,
33,Perfumes de hombre,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"56,10",4.9,17,
34,Perfumes de hombre,Al Haramain,Détour noir,Eau de Parfum para hombre 100 ml,"59,30€",-15 %,"31,70",4.4,16,
35,Perfumes de hombre,Lattafa,Opulent Red,Eau de Parfum unisex 100 ml,"32,80€",-15 %,"18,60",4.7,29,
36,Perfumes de hombre,Rasasi,Daarej Pour Homme,Eau de Parfum para hombre 100 ml,"34,80€",-15 %,"19,00",4.3,53,
37,Perfumes de hombre,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,80",4.6,27,
38,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"25,40",4.3,129,
