,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes de Hombre,PACO RABANNE,1 MILLION,Eau de Toilette para Hombre,80.50,38%,80.50,5,4
1,Perfumes de Hombre,Dior,SAUVAGE,Eau de Parfum,77.94,No tiene,Sin descuento,4,17
2,Perfumes de Hombre,PACO RABANNE,INVICTUS,Eau de Toilette para Hombre,79.00,38%,79.00,4,58
3,Perfumes de Hombre,ARMANI,ACQUA DI GIÒ Hombre,Eau de Toilette para Hombre,70.00,50%,70.00,4,10
4,Perfumes de Hombre,LOEWE,ESENCIA LOEWE,Eau de Toilette para Hombre,97.00,35%,97.00,4,2
5,Perfumes de Hombre,HUGO BOSS,BOSS BOTTLED,Eau de Toilette para Hombre,69.00,57%,69.00,4,14
6,Perfumes de Hombre,JEAN PAUL GAULTIER,LE MALE,Eau de Toilette para Hombre,61.50,51%,61.50,4,41
7,Perfumes de Hombre,RALPH LAUREN,POLO BLUE,Eau de Toilette para Hombre,82.00,51%,82.00,5,9
8,Perfumes de Hombre,ADOLFO DOMÍNGUEZ,Agua Fresca,Eau de Toilette para Hombre,36.50,40%,36.50,5,4
9,Perfumes de Hombre,CAROLINA HERRERA,212 MEN,Eau de Toilette para Hombre,74.50,49%,74.50,4,10
10,Perfumes de Hombre,CAROLINA HERRERA,BAD BOY,Eau de Toilette para Hombre,79.50,33%,79.50,4,7
11,Perfumes de Hombre,YVES SAINT LAURENT,Y MEN,Eau de Toilette para Hombre,90.00,50%,90.00,5,1
12,Perfumes de Hombre,GIVENCHY,Gentleman Society,Eau de Parfum para Hombre,96.00,48%,96.00,0,0
13,Perfumes de Hombre,DAVIDOFF,COOL WATER,Eau de Toilette para Hombre,57.00,74%,57.00,4,9
14,Perfumes de Hombre,ROCHAS,ROCHAS MAN,Eau de Toilette para Hombre,63.00,59%,63.00,4,7
15,Perfumes de Hombre,DOLCE & GABBANA,K BY DOLCE & GABBANA,Eau de Toilette para Hombre,82.00,45%,82.00,4,13
16,Perfumes de Hombre,JEAN PAUL GAULTIER,ULTRA MALE,Eau de Toilette para Hombre,83.00,52%,83.00,4,9
17,Perfumes de Hombre,CALVIN KLEIN,CK ONE,Eau de Toilette Unisex,76.00,72%,76.00,4,12
18,Perfumes de Hombre,YVES SAINT LAURENT,MYSLF,Eau de Parfum para Hombre,92.00,35%,92.00,0,0
19,Perfumes de Hombre,CALVIN KLEIN,CK BE,Eau de Toilette Unisex,76.00,74%,76.00,4,7
20,Perfumes de Hombre,ARMANI,ACQUA DI GIÒ PROFONDO,Eau de Parfum para Hombre,115.00,52%,115.00,4,12
21,Perfumes de Hombre,CALVIN KLEIN,ETERNITY For Men,Eau de Toilette para Hombre,53.00,62%,53.00,4,9
22,Perfumes de Hombre,YVES SAINT LAURENT,LA NUIT DE L'HOMME,Eau de Toilette para Hombre,90.00,49%,90.00,5,5
23,Perfumes de Hombre,Nikos,SCULPTURE,Eau de Toilette para hombre,65.90,74%,65.90,4,231
24,Perfumes de Hombre,ISSEY MIYAKE,L'EAU D'ISSEY POUR HOMME,Eau de Toilette para Hombre,57.00,35%,57.00,4,12
25,Perfumes de Hombre,PACO RABANNE,POUR HOMME,Eau de Toilette para Hombre,56.50,47%,56.50,5,1
26,Perfumes de Hombre,ADOLFO DOMÍNGUEZ,Agua Fresca Citrus Cedro,Eau de Toilette para Hombre,36.50,59%,36.50,5,2
27,Perfumes de Hombre,ADOLFO DOMÍNGUEZ,Bambú,Eau de Toilette para Hombre,31.50,54%,31.50,4,11
28,Perfumes de Hombre,ARMANI,ACQUA DI GIÒ PARFUM,Parfum para Hombre,115.00,44%,115.00,5,5
29,Perfumes de Hombre,LOEWE,ESENCIA LOEWE EDP,Eau de Parfum para Hombre,110.00,35%,110.00,4,7
30,Perfumes de Hombre,PRADA,Infusion d'Iris,Eau de Parfum Unisex,110.00,46%,110.00,4,15
31,Perfumes de Hombre,HUGO BOSS,HUGO MAN,Eau de Toilette para Hombre,80.00,56%,80.00,5,2
32,Perfumes de Hombre,JEAN PAUL GAULTIER,LE BEAU Le Parfum,Eau de Parfum Intense para Hombre,89.50,46%,89.50,4,1
33,Perfumes de Hombre,CAROLINA HERRERA,212 VIP MEN,Eau de Toilette para Hombre,74.50,52%,74.50,4,6
34,Perfumes de Hombre,ARMANI,CODE Hombre,Eau de Toilette para Hombre,89.00,44%,89.00,0,0
35,Perfumes de Hombre,PACO RABANNE,ULTRAVIOLET MAN,Eau de Toilette para Hombre,61.50,51%,61.50,4,8
36,Perfumes de Hombre,ARMANI,CODE LE PARFUM,Eau de Parfum para Hombre,95.00,47%,95.00,5,2
37,Perfumes de Hombre,PACO RABANNE,BLACK XS,Eau de Toilette para Hombre,73.50,46%,73.50,5,2
38,Perfumes de Hombre,JEAN PAUL GAULTIER,LE BEAU,Eau de Toilette para Hombre,81.50,39%,81.50,4,8
39,Perfumes de Hombre,CALVIN KLEIN,CK ONE REFLECTIONS,Eau de Toilette Unisex,70.00,65%,70.00,5,4
40,Perfumes de Hombre,ROCHAS,EAU DE ROCHAS Pour Homme,Eau de Toilette para Hombre,54.00,63%,54.00,4,2
41,Perfumes de Hombre,JEAN PAUL GAULTIER,LE MALE Elixir,Eau de Parfum para Hombre,96.00,34%,96.00,0,0
42,Perfumes de Hombre,PRADA,Amber pour Homme,Eau de Toilette para Hombre,120.00,58%,120.00,4,18
43,Perfumes de Hombre,HUGO BOSS,BOSS THE SCENT,Eau de Toilette para Hombre,89.00,57%,89.00,4,7
44,Perfumes de Hombre,ARMANI,EAU POUR HOMME,Eau de Toilette para Hombre,150.00,57%,150.00,4,53
45,Perfumes de Hombre,YVES SAINT LAURENT,L'HOMME,Eau de Toilette para Hombre,90.00,49%,90.00,4,5
46,Perfumes de Hombre,AZZARO,Chrome,Eau de Toilette para Hombre,90.00,56%,90.00,4,5
47,Perfumes de Hombre,LANCASTER,EAU DE LANCASTER,Eau de Toilette Unisex,64.90,74%,64.90,4,2
48,Perfumes de Hombre,Quorum,QUORUM,Eau de Toilette para Hombre,11.95,No tiene,Sin descuento,4,47
49,Perfumes de Hombre,CAROLINA HERRERA,212 VIP BLACK,Eau de Parfum para Hombre,78.00,44%,78.00,4,3
50,Perfumes de Hombre,GIVENCHY,Gentleman Givenchy,Eau de Toilette para Hombre,107.00,48%,107.00,5,13
51,Perfumes de Hombre,CALVIN KLEIN,OBSESSION For Men,Eau de Toilette para Hombre,64.95,65%,64.95,4,18
52,Perfumes de Hombre,VALENTINO,UOMO INTENSE,Eau de Parfum para Hombre,95.00,48%,95.00,5,2
53,Perfumes de Hombre,DIESEL,ONLY THE BRAVE TATTOO,Eau de Toilette para Hombre,79.00,49%,79.00,4,3
54,Perfumes de Hombre,ARMANI,STRONGER WITH YOU ABSOLUTELY,Parfum para Hombre,89.00,46%,89.00,5,2
55,Perfumes de Hombre,RALPH LAUREN,POLO RED,Eau de Toilette para Hombre,77.00,49%,77.00,4,5
56,Perfumes de Hombre,LOEWE,AGUA DE LOEWE,Eau de Toilette Unisex,71.00,35%,71.00,0,0
57,Perfumes de Hombre,YVES SAINT LAURENT,Y MEN EDP,Eau de Parfum para Hombre,98.00,50%,98.00,4,5
58,Perfumes de Hombre,PRADA,Luna Rossa Carbon,Eau de Toilette para Hombre,85.00,47%,85.00,5,1
59,Perfumes de Hombre,CAROLINA HERRERA,HERRERA FOR MEN,Eau de Toilette para Hombre,95.50,53%,95.50,4,31
60,Perfumes de Hombre,YVES SAINT LAURENT,Y LE PARFUM,Eau de Parfum para Hombre,110.00,50%,110.00,5,3
61,Perfumes de Hombre,VALENTINO,BORN IN ROMA UOMO,Eau de Toilette para Hombre,87.00,52%,87.00,0,0
62,Perfumes de Hombre,ARMANI,STRONGER WITH YOU,Eau de Toilette para Hombre,69.00,49%,69.00,5,1
63,Perfumes de Hombre,LOEWE,SOLO LOEWE,Eau de Toilette para Hombre,96.00,35%,96.00,5,3
64,Perfumes de Hombre,PRADA,Luna Rossa Ocean,Eau de Toilette para Hombre,85.00,47%,85.00,0,0
65,Perfumes de Hombre,ARMANI,ACQUA DI GIÒ EDP,Eau de Parfum para Hombre,115.00,48%,115.00,0,0
66,Perfumes de Hombre,HERMÈS,Un Jardin Sur Le Nil,Eau de Toilette Unisex,96.00,33%,96.00,4,7
67,Perfumes de Hombre,HUGO BOSS,BOSS IN MOTION,Eau de Toilette para Hombre,83.00,64%,83.00,4,2
68,Perfumes de Hombre,DIESEL,ONLY THE BRAVE,Eau de Toilette para Hombre,73.15,48%,73.15,5,8
69,Perfumes de Hombre,CALVIN KLEIN,CONTRADICTION For Men,Eau de Toilette para Hombre,67.55,56%,67.55,4,15
70,Perfumes de Hombre,CALVIN KLEIN,ETERNITY For Men EDP,Eau de Parfum para Hombre,80.00,61%,80.00,3,2
71,Perfumes de Hombre,CAROLINA HERRERA,CH MEN,Eau de Toilette para Hombre,78.00,50%,78.00,0,0
72,Perfumes de Hombre,DIESEL,BAD,Eau de Toilette para Hombre,69.00,42%,69.00,4,1
73,Perfumes de Hombre,HUGO BOSS,BOSS BOTTLED EDP,Eau de Parfum para Hombre,94.00,58%,94.00,4,2
74,Perfumes de Hombre,KENZO,HOMME INTENSE,Eau de Toilette para Hombre,78.50,54%,78.50,4,8
75,Perfumes de Hombre,GIVENCHY,Gentleman Réserve Privée,Eau de Parfum para Hombre,91.50,41%,91.50,4,3
76,Perfumes de Hombre,LOEWE,7 LOEWE,Eau de Toilette para Hombre,84.00,35%,84.00,4,2
77,Perfumes de Hombre,LOEWE,AGUA DE LOEWE MAR DE CORAL,Eau de Toilette Unisex,71.00,35%,71.00,4,3
78,Perfumes de Hombre,LOEWE,POUR HOMME,Eau de Toilette para Hombre,88.00,35%,88.00,5,1
79,Perfumes de Hombre,MONTBLANC,LEGEND,Eau de Toilette para Hombre,50.00,60%,50.00,4,1
80,Perfumes de Hombre,PACO RABANNE,INVICTUS LEGEND,Eau de Parfum para Hombre,74.50,46%,74.50,5,7
81,Perfumes de Hombre,VIKTOR & ROLF,Spicebomb Pour Homme,Eau de Toilette para Hombre,80.00,54%,80.00,4,3
82,Perfumes de Hombre,ADOLFO DOMÍNGUEZ,Agua Fresca Lima Tonka,Eau de Toilette para Hombre,54.50,54%,54.50,0,0
83,Perfumes de Hombre,Dior,EAU SAUVAGE,Eau de Toilette,64.95,No tiene,Sin descuento,4,4
84,Perfumes de Hombre,BOUCHERON,POUR HOMME EDP,Eau de Parfum para Hombre,109.00,70%,109.00,4,8
85,Perfumes de Hombre,TOM FORD,Ombré Leather,Eau de Parfum para Hombre,84.50,No tiene,Sin descuento,5,3
86,Perfumes de Hombre,PACO RABANNE,PURE XS,Eau de Toilette para Hombre,77.50,48%,77.50,4,1
87,Perfumes de Hombre,Dunhill,Desire For Man EDT,Eau de Toilette para Hombre,62.00,68%,62.00,4,20
88,Perfumes de Hombre,LOEWE,AGUA DE LOEWE MAR DE CORAL Icono,Eau de Toilette Unisex,125.00,35%,125.00,5,1
89,Perfumes de Hombre,HUGO BOSS,BOSS BOTTLED ELIXIR,Parfum Intense para Hombre,111.00,41%,111.00,0,0
90,Perfumes de Hombre,Dior,SAUVAGE EDT,Eau de Toilette,52.94,No tiene,Sin descuento,0,0
91,Perfumes de Hombre,YVES SAINT LAURENT,Y MEN EDP INTENSE,Eau de Parfum Intense para Hombre,105.00,48%,105.00,0,0
92,Perfumes de Hombre,ARMANI,EMPORIO ARMANI Hombre,Eau de Toilette para Hombre,110.00,55%,110.00,4,12
93,Perfumes de Hombre,MONTBLANC,EXPLORER,Eau de Parfum para Hombre,80.00,50%,80.00,4,8
94,Perfumes de Hombre,VERSACE,Eros,Eau de Toilette para Hombre,83.00,43%,83.00,5,1
95,Perfumes de Hombre,YVES SAINT LAURENT,KOUROS,Eau de Toilette para Hombre,82.00,42%,82.00,4,7
96,Perfumes de Hombre,PACO RABANNE,1 MILLION PARFUM,Eau de Parfum para Hombre,87.00,38%,87.00,4,6
97,Perfumes de Hombre,VALENTINO,BORN IN ROMA UOMO INTENSE,Eau de Parfum Intense para Hombre,87.00,37%,87.00,0,0
98,Perfumes de Hombre,DOLCE & GABBANA,LIGHT BLUE Pour Homme,Eau de Toilette para Hombre,65.00,43%,65.00,0,0
99,Perfumes de Hombre,AZZARO,Azzaro Sport,Eau de Toilette para Hombre,78.00,72%,78.00,5,1
100,Perfumes de Hombre,Dior,SAUVAGE PARFUM,Parfum,75.75,No tiene,Sin descuento,0,0
