,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes Hombre,Issey Miyake,L'Eau d'Issey pour Homme Intense,Eau de toilette,"88,00€",62.55681818181818,"32,95€",5,1
1,Perfumes Hombre,Carolina Herrera,Chic for Men,Eau de toilette,"55,00€",32.81818181818181,"36,95€",4.8,5
2,Perfumes Hombre,Calvin Klein,Truth for Men,Eau de toilette,"70,00€",64.35714285714286,"24,95€",5,4
3,Perfumes Hombre,Paco Rabanne,XS pour Homme,Eau de toilette,"89,00€",58.483146067415724,"36,95€",5,4
4,Perfumes Hombre,Montblanc,Explorer Platinum,Eau de parfum,"106,00€",43.44339622641509,"59,95€",5,3
5,Perfumes Hombre,Jean Paul Gaultier,Le Male,Eau de toilette,"52,00€",32.78846153846153,"34,95€",5,4
6,Perfumes Hombre,Hugo Boss,Boss Bottled,Eau de parfum,"79,00€",43.101265822784804,"44,95€",5,4
7,Perfumes Hombre,Police,To Be Free To Dare,Eau de toilette,"39,00€",33.46153846153847,"25,95€",5,4
8,Perfumes Hombre,Hugo Boss,Boss Bottled Parfum,,"96,00€",47.96874999999999,"49,95€",5,1
9,Perfumes Hombre,Calvin Klein,Eternity for Men Parfum,,"77,50€",54.90322580645161,"34,95€",5,1
10,Perfumes Hombre,Paco Rabanne,Invictus Victory Elixir Parfum Intense,,"82,00€",26.890243902439025,"59,95€",5,1
11,Perfumes Hombre,Dolce & Gabbana,K by Dolce & Gabbana,Eau de parfum,"103,63€",47.023062819646825,"54,90€",4,1
12,Perfumes Hombre,Halloween,Halloween Man,Eau de toilette,"48,50€",48.55670103092784,"24,95€",4.5,2
13,Perfumes Hombre,Paco Rabanne,Phantom Parfum,,"90,00€",34.5,"58,95€",5,2
14,Perfumes Hombre,Carolina Herrera,CH Men Pasión,Eau de parfum,"112,00€",42.01785714285714,"64,94€",5,2
15,Perfumes Hombre,Adolfo Domínguez,Ámbar Negro,Eau de parfum,"59,50€",41.26050420168067,"34,95€",5,2
16,Perfumes Hombre,Issey Miyake,L'Eau d'Issey Pour Homme Vétiver Intense,Eau de toilette,"80,00€",35.0,"52,00€",5,1
17,Perfumes Hombre,Dolce & Gabbana,Light Blue Summer Vibes Pour Homme,Eau de toilette,"90,00€",41.166666666666664,"52,95€",5,1
18,Perfumes Hombre,Scalpers,Boxing Club,Eau de parfum,"54,00€",44.53703703703704,"29,95€",5,1
19,Perfumes Hombre,Scalpers,The Club,Eau de parfum,"52,00€",42.40384615384616,"29,95€",5,1
20,Perfumes Hombre,Calvin Klein,CK One,Eau de toilette,"58,00€",62.1551724137931,"21,95€",4.8,41
21,Perfumes Hombre,Davidoff,Cool Water,Eau de toilette,"87,00€",71.32183908045977,"24,95€",4.8,18
22,Perfumes Hombre,Nikos,Sculpture pour Homme,Eau de toilette,"67,00€",74.70149253731344,"16,95€",5,3
23,Perfumes Hombre,Paco Rabanne,Ultraviolet Man,Eau de toilette,"81,50€",48.527607361963184,"41,95€",5,3
24,Perfumes Hombre,Calvin Klein,Euphoria Men,Eau de toilette,"80,00€",62.5625,"29,95€",5,1
25,Perfumes Hombre,Paco Rabanne,Invictus,Eau de toilette,"89,00€",24.775280898876403,"66,95€",5,1
26,Perfumes Hombre,Davidoff,Set Cool Water 125ml + All-In-One Shower Gel 75ml + After Shave Balm 75ml,Eau de toilette,"78,00€",65.44871794871796,"26,95€",5,1
27,Perfumes Hombre,Calvin Klein,Eternity For Men,Eau de parfum,"45,00€",33.377777777777766,"29,98€",5,1
28,Perfumes Hombre,Carolina Herrera,212 Men,Eau de toilette,"63,50€",37.08661417322834,"39,95€",5,1
29,Perfumes Hombre,Adolfo Domínguez,Agua Fresca,Eau de toilette,"49,50€",33.43434343434343,"32,95€",4.8,4
30,Perfumes Hombre,Calvin Klein,Set CK One 200ml + Lotion Hydratante 200ml,Eau de toilette,"114,00€",69.34210526315789,"34,95€",4.8,4
31,Perfumes Hombre,Dolce & Gabbana,Light Blue pour Homme,Eau de toilette,"45,00€",18.0,"36,90€",5,2
32,Perfumes Hombre,Paco Rabanne,Set 1 Million 100ml + Deodorant 150ml,Eau de toilette,"90,00€",22.27777777777777,"69,95€",5,2
33,Perfumes Hombre,Guy Laroche,Drakkar Noir,Eau de toilette,"30,00€",56.833333333333336,"12,95€",4.7,3
34,Perfumes Hombre,Hermès,Terre d'Hermès,Eau de toilette,"65,00€",7.769230769230759,"59,95€",5,1
35,Perfumes Hombre,Paco Rabanne,Paco,Eau de toilette,"40,00€",37.625,"24,95€",5,3
