tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
primor,hombre,hugo boss,boss bottled ,eau de toilette,81.7,56.0,35.95,4.81,212.0
primor,hombre,davidoff, hombre,eau de toilette,74.0,74.0,19.24,4.71,118.0
primor,hombre,armani,giorgio armani perfume hombre acqua di gio homme ,eau de toilette,85.0,54.0,39.1,4.93,98.0
primor,hombre,calvin klein,ck in2u for him ,eau de toilette,76.0,76.0,18.24,4.7,94.0
primor,hombre,carolina herrera,212 men ,eau de toilette,74.5,49.0,37.99,4.89,66.0
primor,hombre,yves saint laurent,yves saint laurent y  perfume de hombre,eau de parfum,98.0,50.0,49.0,4.93,88.0
primor,hombre,hugo boss,hugo man ,eau de toilette,75.9,54.0,34.91,4.55,31.0
primor,hombre,paco rabanne,invictus ,eau de toilette,79.0,38.0,48.98,4.9,115.0
primor,hombre,carolina herrera,ch for men ,eau de toilette,78.0,53.0,36.66,4.9,41.0
primor,hombre,hugo boss,the scent ,eau de toilette,88.7,56.0,39.03,4.91,32.0
primor,hombre,jean paul gaultier,le male ,eau de toilette,61.5,51.0,30.14,4.79,92.0
primor,hombre,paco rabanne,one million ,eau de toilette,80.5,38.0,49.91,4.84,83.0
primor,hombre,nike,gold edition man ,eau de toilette,2.75,9.0,2.5,4.25,4.0
primor,hombre,yves saint laurent,ysl myslf eau de  recargable,eau de parfum,92.0,40.0,55.2,5.0,1.0
primor,hombre,carolina herrera,212 vip men ,eau de toilette,74.5,49.0,37.99,4.83,41.0
primor,hombre,nike,nike man indigo ,eau de toilette,2.75,0.0,2.75,4.8,5.0
primor,hombre,hugo boss,boss bottled eau de ,eau de parfum,89.9,56.0,39.56,4.75,16.0
primor,hombre,carolina herrera,212 vip black ,eau de parfum,78.0,44.0,43.68,4.93,27.0
primor,hombre,the seven cosmetics,agua de  con prebióticos,eau de cologne,1.99,0.0,1.99,4.75,4.0
primor,hombre,nikos,sculpture ,eau de toilette,65.9,74.0,17.13,4.5,36.0
primor,hombre,jean paul gaultier,ultra male ,eau de toilette,65.0,53.0,30.55,4.71,31.0
primor,hombre,diesel,only the brave ,eau de toilette,52.0,46.0,28.08,4.84,57.0
primor,hombre,armani,armani code le  ,eau de parfum,125.0,52.0,60.0,4.86,7.0
primor,hombre,dior,sauvage ,eau de toilette,76.0,0.0,76.0,4.64,36.0
primor,hombre,paco rabanne,one million ,parfum,87.0,38.0,53.94,4.47,15.0
primor,hombre,adolfo dominguez,bambú ,eau de toilette,31.5,54.0,14.49,4.93,28.0
primor,hombre,jean paul gaultier,le beau ,eau de parfum,123.0,39.0,75.03,4.92,12.0
primor,hombre,calvin klein,eternity  for men de calvin klein,eau de toilette,72.6,63.0,26.86,4.82,77.0
primor,hombre,ralph lauren,polo sport ,eau de toilette,70.1,64.0,25.24,4.82,17.0
primor,hombre,armani,giorgio armani code ,eau de toilette,89.0,44.0,49.84,4.85,71.0
primor,hombre,jean paul gaultier,le male le  ,eau de parfum,87.5,33.0,58.62,4.75,12.0
primor,hombre,yves saint laurent,la nuit de l'homme ,eau de toilette,115.0,49.0,58.65,4.74,23.0
primor,hombre,diesel,fuel for life ,eau de toilette,69.0,68.0,22.08,4.62,13.0
primor,hombre,versace,blue jeans ,eau de toilette,45.1,63.0,16.69,4.88,40.0
primor,hombre,yves saint laurent,yves saint laurent perfume hombre  l'homme ,eau de toilette,90.0,49.0,45.9,4.79,47.0
primor,hombre,jaguar,classic black ,eau de toilette,80.0,82.0,14.4,4.4,20.0
primor,hombre,dior,sauvage eau de ,eau de parfum,104.0,0.0,104.0,4.79,33.0
primor,hombre,jean paul gaultier,le male elixir eau de ,eau de parfum,96.0,34.0,63.36,0.0,0.0
primor,hombre,armani,acqua di giò ,parfum,115.0,43.0,65.55,4.67,3.0
primor,hombre,paco rabanne,invictus victory eau de  extrême,eau de parfum,89.0,37.0,56.07,4.69,13.0
primor,hombre,dior,sauvage ,parfum,119.0,0.0,119.0,4.89,19.0
primor,hombre,ralph lauren,ralph lauren perfume hombre polo blue ,eau de toilette,110.0,55.0,49.5,4.92,37.0
primor,hombre,tabac,tabac ,eau de cologne,40.0,70.0,12.0,4.53,40.0
primor,hombre,hugo boss,boss bottled ,parfum,103.4,54.0,47.56,5.0,2.0
primor,hombre,paco rabanne,pure xs ,eau de toilette,77.5,50.0,38.75,4.78,18.0
primor,hombre,jean paul gaultier,le beau ,eau de toilette,81.5,39.0,49.72,4.83,24.0
primor,hombre,paco rabanne,ultraviolet man ,eau de toilette,95.0,56.0,41.8,4.63,16.0
primor,hombre,don algodón, para hombre,eau de cologne,14.95,0.0,14.95,4.88,34.0
primor,hombre,aramis,aramis ,eau de toilette,97.0,72.0,27.16,5.0,1.0
primor,hombre,antonio banderas,the golden secret ,eau de toilette,22.95,22.0,17.9,5.0,6.0
primor,hombre,calvin klein,eternity for men ,eau de parfum,79.8,61.0,31.12,4.72,18.0
primor,hombre,scalpers,the club ,eau de parfum,59.0,51.0,28.91,4.25,12.0
primor,hombre,antonio banderas,blue seduction ,eau de toilette,22.95,22.0,17.9,4.33,3.0
primor,hombre,gucci,guilty pour homme ,eau de toilette,83.5,55.0,37.57,5.0,15.0
primor,hombre,valentino,uomo born in roma  perfume de hombre,eau de toilette,82.0,49.0,41.82,4.84,56.0
primor,hombre,sentio,interfeer men ,eau de toilette,1.0,0.0,1.0,4.0,1.0
