,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Fragancias de Hombre,CHANEL,BLEU DE CHANEL,Eau de Parfum,"127,99 €",No aparece,Sin descuento,5,1
1,Fragancias de Hombre,CHANEL,ALLURE HOMME,Eau de toilette,"115,99 €",No aparece,Sin descuento,,
2,Fragancias de Hombre,Yves Saint Laurent,La Nuit De L’Homme,Eau de toilette,"54,95 €",No aparece,"38,99 €",5,2
3,Fragancias de Hombre,Armani,Acqua di Giò,Eau de toilette,"70,99 €",No aparece,"40,99 €",5,2290
4,Fragancias de Hombre,Hugo Boss,Boss Bottled,Eau de toilette,"71,99 €",No aparece,"29,99 €",5,3
5,Fragancias de Hombre,Jean Paul Gaultier,Le Beau,Eau de Parfum,"94,69 €",No aparece,"80,99 €",5,2
6,Fragancias de Hombre,Issey Miyake,L'Eau d'Issey pour Homme,Eau de toilette,"40,99 €",No aparece,Sin descuento,5,1
7,Fragancias de Hombre,Jean Paul Gaultier,Le Male,Eau de toilette,"68,29 €",No aparece,"58,99 €",,
8,Fragancias de Hombre,CALVIN KLEIN,CK One Platinum,Eau de toilette,"43,39 €",No aparece,"23,99 €",5,28
9,Fragancias de Hombre,DIOR,Sauvage,Eau de Parfum,"67,99 €",No aparece,Sin descuento,3.5,2
10,Fragancias de Hombre,Prada,L'Homme,Eau de toilette,"85,99 €",No aparece,"66,99 €",5,2
11,Fragancias de Hombre,Armani,Code,Perfume,"95,99 €",No aparece,"59,99 €",5,208
12,Fragancias de Hombre,CHANEL,BLEU DE CHANEL,Eau de Parfum,"95,99 €",No aparece,Sin descuento,5,1
13,Fragancias de Hombre,Yves Saint Laurent,Y,Eau de toilette,"89,89 €",No aparece,"74,99 €",5,185
14,Fragancias de Hombre,Paco Rabanne,Fame,Eau de Parfum,"65,99 €",No aparece,"42,99 €",5,40
15,Fragancias de Hombre,CALVIN KLEIN,Eternity,Eau de Parfum,"85,99 €",No aparece,"37,99 €",5,202
16,Fragancias de Hombre,CALVIN KLEIN,CK One Platinum,Eau de toilette,"59,99 €",No aparece,"23,99 €",,
17,Fragancias de Hombre,Paco Rabanne,1 Million,Perfume,"87,99 €",No aparece,"55,99 €",5,13
18,Fragancias de Hombre,Givenchy,Gentleman Givenchy,Eau de Parfum,"91,99 €",No aparece,"54,99 €",,
19,Fragancias de Hombre,Paco Rabanne,1 Million,Eau de toilette,"80,99 €",No aparece,"50,99 €",5,46
20,Fragancias de Hombre,Hugo Boss,Boss The Scent,Eau de toilette,"94,99 €",No aparece,"41,99 €",5,23
21,Fragancias de Hombre,Armani,Eaux pour Homme,Eau de toilette,"150,00 €",No aparece,"84,99 €",,
22,Fragancias de Hombre,Jean Paul Gaultier,Le Beau,Eau de toilette,"114,99 €",No aparece,"58,99 €",,
23,Fragancias de Hombre,Prada,Luna Rossa,Eau de toilette,"85,99 €",No aparece,"53,99 €",5,118
24,Fragancias de Hombre,Valentino,Born In Roma,Eau de toilette,"111,99 €",No aparece,"76,99 €",5,52
25,Fragancias de Hombre,Paco Rabanne,Paco Rabanne Homme,Eau de toilette,"79,99 €",No aparece,"50,99 €",5,42
26,Fragancias de Hombre,CHANEL,BLEU DE CHANEL,Eau de toilette,"77,99 €",No aparece,Sin descuento,,
27,Fragancias de Hombre,Jean Paul Gaultier,Le Male,Eau de toilette,"80,99 €",No aparece,"45,99 €",5,1
28,Fragancias de Hombre,BVLGARI,Pour Homme,Eau de toilette,"80,99 €",No aparece,Sin descuento,,
29,Fragancias de Hombre,CHANEL,ALLURE HOMME SPORT,Eau de toilette,"89,99 €",No aparece,Sin descuento,,
30,Fragancias de Hombre,Prada,Les Infusions,Eau de Parfum,"151,99 €",No aparece,"103,99 €",4.5,215
31,Fragancias de Hombre,Valentino,Born In Roma,Eau de toilette,"110,00 €",No aparece,"67,99 €",5,51
32,Fragancias de Hombre,Carolina Herrera,212 For Men,Eau de toilette,"74,99 €",No aparece,"41,99 €",,
33,Fragancias de Hombre,Givenchy,Irresistible Givenchy,Eau de Parfum,"79,99 €",No aparece,"48,99 €",5,1
34,Fragancias de Hombre,Dolce&Gabbana,Light Blue,Eau de Parfum,"72,99 €",No aparece,"46,99 €",4.5,2
35,Fragancias de Hombre,eilish Billie Eilish,Eilish,Eau de Parfum,"49,99 €",No aparece,Sin descuento,5,4
36,Fragancias de Hombre,Ralph Lauren,Polo Blue,Eau de Parfum,"92,99 €",No aparece,"62,99 €",5,79
37,Fragancias de Hombre,KENZO,Kenzo Homme,Eau de toilette,"54,99 €",No aparece,"32,99 €",5,1
38,Fragancias de Hombre,Gisada,Sin nombre,Eau de Parfum,"84,99 €",No aparece,Sin descuento,5,1
39,Fragancias de Hombre,Chloé,Signature,Eau de Parfum,"62,99 €",No aparece,Sin descuento,5,89
40,Fragancias de Hombre,Dolce&Gabbana,The One,Eau de toilette,"129,00 €",No aparece,"79,99 €",2,1
41,Fragancias de Hombre,Prada,L'Homme L'Eau,Eau de toilette,"90,99 €",No aparece,"51,99 €",,
42,Fragancias de Hombre,Hugo Boss,Boss Bottled,Perfume,"111,00 €",No aparece,"52,99 €",5,87
43,Fragancias de Hombre,Versace,Eros,Eau de toilette,"87,95 €",No aparece,"52,99 €",4.5,3
44,Fragancias de Hombre,Paco Rabanne,Phantom,Eau de toilette,"80,99 €",No aparece,"51,99 €",5,38
45,Fragancias de Hombre,Givenchy,Gentleman Society,Eau de Parfum,"96,99 €",No aparece,"52,99 €",,
46,Fragancias de Hombre,Paco Rabanne,Ultraviolet,Eau de toilette,"95,99 €",No aparece,"59,99 €",5,3
47,Fragancias de Hombre,Armani,Emporio Armani,Eau de toilette,"85,99 €",No aparece,"49,99 €",4.5,350
48,Fragancias de Hombre,CHANEL,ALLURE HOMME SPORT,Eau de Parfum,"142,00 €",No aparece,Sin descuento,,
49,Fragancias de Hombre,CHANEL,PLATINUM ÉGOÏSTE,Eau de toilette,"118,99 €",No aparece,Sin descuento,,
50,Fragancias de Hombre,CHANEL,BLEU DE CHANEL,Eau de Parfum,"127,99 €",No aparece,Sin descuento,5,1
51,Fragancias de Hombre,CHANEL,ALLURE HOMME,Eau de toilette,"115,99 €",No aparece,Sin descuento,,
52,Fragancias de Hombre,Cacharel,Pour l'Homme,Eau de toilette,"101,99 €",No aparece,"57,99 €",,
53,Fragancias de Hombre,BVLGARI,Pour Homme,Eau de toilette,"119,99 €",No aparece,"79,99 €",,
54,Fragancias de Hombre,TOM FORD,Signature Fragancias de Hombre,Perfume,"231,99 €",No aparece,Sin descuento,,
55,Fragancias de Hombre,DIOR,Sauvage,Perfume,"129,99 €",No aparece,Sin descuento,5,4
56,Fragancias de Hombre,Issey Miyake,L'Eau d'Issey pour Homme,Eau de toilette,"79,99 €",No aparece,"52,99 €",,
57,Fragancias de Hombre,Versace,Pour Homme,Eau de toilette,"91,99 €",No aparece,"67,99 €",,
58,Fragancias de Hombre,Versace,Sin nombre,Eau de Parfum,"114,99 €",No aparece,"81,99 €",5,1
59,Fragancias de Hombre,Hugo Boss,Boss Bottled,Aftershave,"87,99 €",No aparece,"38,99 €",,
60,Fragancias de Hombre,Jean Paul Gaultier,Le Male,Eau de Parfum,"87,99 €",No aparece,"62,99 €",5,3
61,Fragancias de Hombre,KENZO,Kenzo Jungle,Eau de Parfum,"70,89 €",No aparece,"58,99 €",,
62,Fragancias de Hombre,Hugo Boss,Boss Bottled,Eau de Parfum,"96,99 €",No aparece,"45,99 €",5,193
63,Fragancias de Hombre,Hugo Boss,Boss The Scent,Perfume,"109,00 €",No aparece,"52,99 €",4.5,2
64,Fragancias de Hombre,TOM FORD,Signature Fragancias de Hombre,Eau de Parfum,"115,99 €",No aparece,Sin descuento,,
65,Fragancias de Hombre,Loewe,Sin nombre,Eau de Parfum,"111,99 €",No aparece,"71,99 €",,
66,Fragancias de Hombre,DIOR,Sauvage,Perfume,"75,99 €",No aparece,Sin descuento,,
67,Fragancias de Hombre,Armani,Acqua di Giò,Eau de Parfum,"115,00 €",No aparece,"68,99 €",5,737
68,Fragancias de Hombre,Dolce&Gabbana,K by Dolce&Gabbana,Eau de Parfum,"89,99 €",No aparece,"52,99 €",,
69,Fragancias de Hombre,Moschino,Toy Boy,Eau de Parfum,"65,95 €",No aparece,"51,99 €",5,1
70,Fragancias de Hombre,CALVIN KLEIN,CK Everyone,Eau de toilette,"45,49 €",No aparece,"26,99 €",4.5,95
71,Fragancias de Hombre,Jean Paul Gaultier,Scandal Homme,Eau de toilette,"84,99 €",No aparece,"55,99 €",5,1
72,Fragancias de Hombre,Carolina Herrera,Sin nombre,Eau de toilette,"74,99 €",No aparece,"43,99 €",,
73,Fragancias de Hombre,Dolce&Gabbana,Light Blue,Eau de toilette,"54,95 €",No aparece,"36,99 €",4,1
